     #MC step,      Etot,     sig666,   sig655,   sig555,   sig544,   sig533,   sig532,   sig522,   sig521,   sig444,   sig433,   sig422,   sig421,   sig411,   sig400,   sig322,   sig311,   sig300,   sig211,   sig200,   sig100,   sig000
        35,     -140.338821, 0.000000, 0.000000, 0.138095, 0.066667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.147619, 0.061905, 0.028571, 0.009524, 0.000000, 0.266667, 0.152381, 0.014286, 0.038095, 0.066667, 0.004762, 0.004762
        36,     -141.813004, 0.008621, 0.000000, 0.094828, 0.017241, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.025862, 0.327586, 0.000000, 0.000000, 0.000000, 0.245690, 0.237069, 0.012931, 0.012931, 0.012931, 0.004310, 0.000000
        37,     -141.813004, 0.000000, 0.000000, 0.099567, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.008658, 0.372294, 0.000000, 0.000000, 0.000000, 0.229437, 0.233766, 0.021645, 0.012987, 0.021645, 0.000000, 0.000000
        38,     -139.818710, 0.000000, 0.000000, 0.084821, 0.084821, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.174107, 0.053571, 0.062500, 0.000000, 0.000000, 0.232143, 0.187500, 0.000000, 0.053571, 0.066964, 0.000000, 0.000000
        39,     -140.371262, 0.000000, 0.000000, 0.053812, 0.076233, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.165919, 0.076233, 0.035874, 0.004484, 0.000000, 0.251121, 0.197309, 0.026906, 0.017937, 0.094170, 0.000000, 0.000000
        40,     -140.930313, 0.000000, 0.000000, 0.013575, 0.054299, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.090498, 0.108597, 0.085973, 0.013575, 0.000000, 0.185520, 0.280543, 0.045249, 0.045249, 0.076923, 0.000000, 0.000000
        41,     -140.088867, 0.004444, 0.000000, 0.146667, 0.071111, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.195556, 0.057778, 0.000000, 0.004444, 0.000000, 0.244444, 0.115556, 0.026667, 0.044444, 0.088889, 0.000000, 0.000000
        42,     -140.088867, 0.000000, 0.000000, 0.070755, 0.089623, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.193396, 0.061321, 0.018868, 0.004717, 0.000000, 0.231132, 0.179245, 0.009434, 0.051887, 0.084906, 0.004717, 0.000000
        43,     -139.913330, 0.009009, 0.000000, 0.076577, 0.063063, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.117117, 0.130631, 0.022523, 0.004505, 0.000000, 0.292793, 0.157658, 0.027027, 0.040541, 0.049550, 0.009009, 0.000000
        44,     -140.723740, 0.013100, 0.000000, 0.139738, 0.056769, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.139738, 0.100437, 0.043668, 0.008734, 0.000000, 0.257642, 0.126638, 0.008734, 0.048035, 0.052402, 0.004367, 0.000000
        45,     -140.295181, 0.000000, 0.000000, 0.099099, 0.054054, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.090090, 0.157658, 0.045045, 0.000000, 0.000000, 0.288288, 0.139640, 0.009009, 0.058559, 0.049550, 0.009009, 0.000000
        46,     -141.090134, 0.000000, 0.000000, 0.088106, 0.070485, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.162996, 0.110132, 0.008811, 0.004405, 0.000000, 0.273128, 0.185022, 0.013216, 0.035242, 0.044053, 0.004405, 0.000000
        47,     -140.088867, 0.000000, 0.000000, 0.121359, 0.072816, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.194175, 0.038835, 0.029126, 0.009709, 0.000000, 0.233010, 0.145631, 0.000000, 0.063107, 0.082524, 0.009709, 0.000000
        48,     -140.382080, 0.004367, 0.000000, 0.122271, 0.078603, 0.004367, 0.000000, 0.000000, 0.000000, 0.000000, 0.179039, 0.100437, 0.008734, 0.004367, 0.000000, 0.244541, 0.152838, 0.000000, 0.043668, 0.056769, 0.000000, 0.000000
        49,     -140.771790, 0.000000, 0.000000, 0.117371, 0.061033, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.089202, 0.145540, 0.084507, 0.004695, 0.000000, 0.187793, 0.117371, 0.009390, 0.084507, 0.093897, 0.004695, 0.000000
        50,     -140.475235, 0.000000, 0.000000, 0.084444, 0.075556, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.075556, 0.031111, 0.004444, 0.000000, 0.222222, 0.160000, 0.017778, 0.040000, 0.080000, 0.008889, 0.000000
        51,     -140.371262, 0.000000, 0.000000, 0.044554, 0.049505, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.148515, 0.094059, 0.074257, 0.004950, 0.000000, 0.217822, 0.212871, 0.014851, 0.044554, 0.094059, 0.000000, 0.000000
        52,     -140.191376, 0.000000, 0.000000, 0.066667, 0.093333, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.155556, 0.080000, 0.102222, 0.000000, 0.000000, 0.195556, 0.151111, 0.004444, 0.080000, 0.071111, 0.000000, 0.000000
        53,     -140.295181, 0.000000, 0.000000, 0.071749, 0.080717, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.165919, 0.103139, 0.026906, 0.000000, 0.000000, 0.201794, 0.161435, 0.031390, 0.040359, 0.116592, 0.000000, 0.000000
        54,     -140.770615, 0.000000, 0.000000, 0.080357, 0.049107, 0.004464, 0.000000, 0.000000, 0.000000, 0.000000, 0.093750, 0.169643, 0.017857, 0.000000, 0.000000, 0.209821, 0.209821, 0.017857, 0.031250, 0.116071, 0.000000, 0.000000
        55,     -140.594360, 0.000000, 0.000000, 0.084821, 0.075893, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.160714, 0.084821, 0.022321, 0.013393, 0.000000, 0.227679, 0.196429, 0.017857, 0.053571, 0.044643, 0.017857, 0.000000
        56,     -140.295181, 0.000000, 0.000000, 0.050505, 0.080808, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.146465, 0.085859, 0.101010, 0.015152, 0.000000, 0.186869, 0.146465, 0.005051, 0.106061, 0.070707, 0.005051, 0.000000
        57,     -140.494400, 0.000000, 0.000000, 0.080000, 0.057778, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.133333, 0.146667, 0.035556, 0.000000, 0.000000, 0.266667, 0.137778, 0.044444, 0.040000, 0.057778, 0.000000, 0.000000
        58,     -139.966034, 0.000000, 0.000000, 0.103604, 0.054054, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.112613, 0.162162, 0.022523, 0.000000, 0.000000, 0.189189, 0.162162, 0.040541, 0.045045, 0.108108, 0.000000, 0.000000
        59,     -139.966034, 0.000000, 0.000000, 0.131068, 0.092233, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.165049, 0.038835, 0.043689, 0.004854, 0.000000, 0.300971, 0.106796, 0.009709, 0.077670, 0.019417, 0.009709, 0.000000
        60,     -139.978821, 0.000000, 0.000000, 0.119469, 0.088496, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.141593, 0.079646, 0.061947, 0.000000, 0.000000, 0.274336, 0.132743, 0.000000, 0.048673, 0.053097, 0.000000, 0.000000
        61,     -141.067719, 0.000000, 0.000000, 0.084444, 0.048889, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.071111, 0.186667, 0.031111, 0.000000, 0.000000, 0.208889, 0.213333, 0.026667, 0.048889, 0.080000, 0.000000, 0.000000
        62,     -140.769257, 0.000000, 0.000000, 0.080000, 0.066667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.084444, 0.160000, 0.013333, 0.017778, 0.000000, 0.217778, 0.208889, 0.026667, 0.017778, 0.102222, 0.004444, 0.000000
