,Unnamed: 0,Edad (años),Peso (en kilogramos),Estatura (en metros),Horas de actividad física (por semana) ,Cantidad de horas de sueño diarias,Cantidad de hora sentado al día,Cantidad de agua consumida por día (en litros),"Consumo diario de bebidas azucaradas (refrescos, jugos, etc.) en litros.",Consumo de cerveza por semana (en litros),Cantidad de comidas diarias,Visitas diarias al baño?,Padeces alguna enfermedad que te impida ejercitarte?,Padeces alguna enfermedad que influya en tu peso?,Consumes comida chatarra de forma cotidiana?,Consideras que sigues una dieta saludable?
91,91,19,43.0,1.57,3.0,9.0,8.0,2,0.5,0.3,3.0,4,0,1,0,1
92,92,18,65.0,1.68,5.0,8.0,13.0,2,0.5,0,4.0,2,0,0,0,0
93,93,20,106.0,1.84,7.0,7.0,6.0,3,2,0,4.0,4,0,0,0,0
94,94,18,75.0,1.8,10.0,8.0,7.0,5,0,0,5.0,3,0,0,0,1
95,95,19,78.0,1.83,6.0,8.0,4.0,1.3,0.3,0,5.0,3,0,0,0,1
96,96,18,43.0,1.63,3.0,8.0,6.0,2,1,0,4.0,3,0,0,0,1
97,97,17,50.0,1.63,4.0,9.0,10.0,3,0.59,0,5.0,10,0,1,0,1
98,98,18,82.0,1.85,4.0,2.0,2.0,0.5,1.5,2,2.0,5,0,0,1,0
99,99,18,65.0,1.7,0.0,9.0,14.0,1,0,0,2.0,6,0,0,0,0
100,100,18,54.0,1.56,2.0,8.0,5.0,2,1,0,2.0,4,0,0,0,0
101,101,18,46.4,1.56,2.0,8.0,16.0,0.5,0.25,0,3.0,4,0,0,1,1
102,102,18,130.0,1.75,10.0,6.0,5.0,4,1,6,3.0,2,0,1,1,0
103,103,18,50.0,1.6,1.0,7.0,15.0,1,1,0,2.0,1,0,0,1,0
104,104,18,60.0,1.65,5.0,6.0,15.0,2,0,0,6.0,3,0,0,0,1
105,105,17,59.0,1.57,4.0,8.0,7.0,1.5,0.5,0,4.0,2,0,0,0,1
106,106,17,55.0,1.58,5.0,7.0,7.0,1,0,0,4.0,3,0,0,0,1
107,107,16,58.0,1.61,10.0,7.0,6.0,2,0,0,5.0,4,0,0,0,1
108,108,17,60.0,1.64,12.0,7.0,7.0,3,0,0,3.0,3,0,0,0,1
109,109,18,57.0,1.65,4.0,6.0,5.0,1,1,3,4.0,3,0,0,0,0
110,110,19,54.0,1.56,5.0,7.0,7.0,2,3,5,5.0,4,0,0,1,0
111,111,15,62.0,1.6,1.0,9.0,7.0,2.5,0.1,0,5.0,4,0,0,0,1
112,112,17,50.0,1.56,1.0,9.0,5.0,1,0.25,0,3.0,4,0,0,1,0
113,113,18,52.0,1.58,0.0,8.0,6.0,2,1,0,5.0,3,0,0,1,0
114,114,18,49.0,1.65,2.0,6.0,6.0,3,0,1,4.0,3,0,0,1,0
115,115,18,70.0,1.72,0.0,6.0,8.0,3,0,0,3.0,3,0,0,1,0
116,116,17,62.0,1.63,3.0,8.0,8.0,4,0,0,2.0,3,0,0,0,0
117,117,21,73.0,1.83,11.0,8.0,7.0,1.5,1,3,2.0,2,0,0,1,0
118,118,19,65.0,1.75,4.0,10.0,5.0,2,0.5,1,3.0,3,0,0,0,0
119,119,18,77.0,1.72,10.0,7.0,6.0,2.5,0,2,5.0,7,0,0,0,1
120,120,37,98.0,1.73,2.0,8.0,8.0,2,1,0,3.0,5,0,1,1,0
121,121,20,50.0,1.6,2.0,8.0,12.0,2,6 ,0,5.0,5,0,0,1,0
122,122,19,59.0,1.6,3.0,5.0,5.0,2,0,0,4.0,5,0,0,0,1
