,Edad,Peso (Kg),Estatura (metros),Tiempo de actividad física diaría (horas),Días de actividad (por semana) ,Consumo de agua por día (litros),Comidas al día ,Bebidas gaseosas (Refrescos) (litros por día),Horas sentado durante el día ,Horas de sueño por día,Cantidad de cheve por seman (litros),Consumes comida chatarra de forma cotidiana
131,62,74.0,1.54,8.0,7,1.0,3,1.0,2,7.0,0.0,0
132,27,70.0,1.57,0.5,2,2.0,3,0.0,6,7.5,2.0,1
133,30,53.0,1.6,1.0,5,2.5,4,0.0,7,8.0,0.0,0
134,39,63.0,1.5,0.35,0,1.0,3,0.0,6,9.0,0.0,0
135,37,65.0,1.57,0.0,0,2.0,3,1.0,2,8.0,0.0,1
136,18,65.0,1.58,2.0,5,2.0,3,1.0,1,8.0,1.0,1
137,43,70.0,1.58,1.0,6,1.0,3,0.0,2,8.0,0.0,1
138,18,62.0,1.74,2.0,6,3.0,3,0.0,6,7.0,0.0,1
139,19,64.0,1.68,7.0,7,2.0,5,0.0,8,8.0,0.0,0
140,57,73.0,1.85,1.0,3,1.5,3,0.0,2,7.0,0.0,0
141,29,55.0,1.6,0.0,0,0.5,3,1.0,4,9.0,0.0,1
142,24,43.0,1.53,1.5,5,1.0,3,0.0,5,6.0,0.0,1
143,31,80.0,1.7,1.0,5,2.5,5,0.0,8,7.0,0.0,0
144,57,92.0,1.7,8.0,2,2.0,3,1.0,2,8.0,0.0,1
145,30,90.0,1.86,8.0,6,2.0,3,0.5,3,8.0,0.0,1
146,21,60.0,1.72,0.5,3,2.0,3,0.0,6,6.0,0.0,0
147,19,110.0,1.85,4.0,6,4.0,3,0.0,9,6.0,0.0,0
148,27,63.0,1.61,1.0,3,2.0,5,0.0,9,8.0,0.0,0
149,16,89.0,1.59,1.0,5,2.0,3,0.5,9,9.0,0.0,0
150,22,53.0,1.55,1.0,1,0.25,5,0.5,5,5.5,0.1,0
151,20,45.0,1.57,0.0,5,1.0,2,3.0,1,5.0,0.0,1
152,24,75.0,1.73,1.0,5,1.0,3,1.0,4,8.0,0.0,1
153,22,70.0,1.56,1.0,4,2.0,3,1.0,12,7.0,0.0,1
154,19,60.0,1.75,1.0,4,0.5,3,0.0,8,6.0,1.5,0
